created_at,source,original_text,polarity,subjectivity,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,place,hashtags_in_tweets,screen_name
2021-06-18 17:58:09+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",i m pleased to welcome the #wecandothis bus to atlanta today  remember  there are   easy ways to find a #covid   vaccine near you      search     text your zip code to            call                ,0.5083333333333333,0.7833333333333333,687,222,renee98929893,12,152,False,"#wecandothis, #wecandothis", ,"#wecandothis, #covid","@rochelle walensky, md, mph"
2021-06-18 17:58:15+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",the us government is lying to us by pretending #covid   is over  it is not over  people are still dying daily  vaccines are fantastic but they are not the only thing we need to do to save lives   call your elected officials  ,0.1333333333333333,0.6333333333333333,0,1,corrigan_david,2898,5001,False,#covid19,"los angeles, ca",#covid,@longcovidnyc
2021-06-18 17:58:28+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",ibp south africa and partners wrote to the gauteng government in october last year highlighting that residents in emfuleni informal settlement do not have basic services to combat covid     months later the problem continues  #covid inequality   share the story ,0.0,0.0638888888888888,3,5,guyinthecorner1,249,375,False, ,south africa,#covid,@warren krafchik
2021-06-18 17:58:40+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>", mb    winnipeg    available mrna vaccines    atlantic medical centre       mcphillips street                  call to confirm availability book an appointment     #protectmb #vhcdose  #covid  mb #vhcmb,0.25,0.2,3,5,sandybiback,910,575,False, ,canada,"#protectmb, #vhcdose, #covid, #vhcmb",@vaccine hunters canada
2021-06-18 17:58:43+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",more than        new cases in south africa s latest report  positivity rate above      the third wave continues    and two thirds of new cases are in gauteng province  ,0.212121212121212,0.4015151515151515,7,6,fortunethembo,214,855,False, ,"johannesburg, south africa", ,@geoffrey york
2021-06-18 17:58:53+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",at least one take away seems to me to be that universities may still find themselves facing litigation even if they don t mandate #covid   #vaccines ,-0.3,0.4,10,2,jonathankuo11,19,103,False, , ,"#covid, #vaccines",@(((dorit reiss)))
2021-06-18 17:59:01+00:00,"<a href=""https://sproutsocial.com"" rel=""nofollow"">sprout social</a>",with the vaccination programme well underway it is important that employers continue to ensure their staff can find  ,0.4,1.0,0,0,tamesidecouncil,29688,1104,False, ,"ashton-under-lyne, england", , 
2021-06-18 17:59:10+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">twitter for ipad</a>",not yet vaccinated against covid     sign up for an appointment and let s stop the spread  #wecandothis #arizona   ,0.0,0.0,0,0,realjacobsumner,974,1329,False,"#wecandothis, #wecandothis","glendale, az","#wecandothis, #arizona", 
2021-06-18 17:59:13+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">twitter for iphone</a>",you can get a #covid   vaccine and other vaccines  including flu and shingles  at the same visit  you no longer need to wait    days between vaccines  side effects are the same if vaccines are given alone or together     more about vaccine timing   ,0.09375,0.28125,107,63,hiphealthy,9396,7492,False,#covid19,"miami, florida",#covid,@cdc
2021-06-18 17:59:14+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",rt  rimmel mohydin  hoarding vaccines is costing lives ,0.0,0.0,64,27,morteza22047559,784,601,False, ,canada, ,@rimmel mohydin
2021-06-18 17:59:22+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">twitter for ipad</a>",yet another amazingly qualified and courageous doctor  roger hodkinson  speaks out against the crazy government policy responses to covid   i have condensed his    minutes on the hirewire to   twitter size edits  starting with an overview of interventions and vaccines  ,3.7007434154171876e-17,0.6333333333333334,536,349,williapa81,295,1450,False, , , ,@joel smalley 🌸
2021-06-18 17:59:24+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>", aipac will aipac tell the world that israel has sold expired vaccines to palestinians  which could have been disastrous to palestinians  making the covid   crisis far worse  leading to more palestinian deaths  #thisisisrael  ,-0.125,0.725,8,10,lallamina13,142,367,False, ,"earth, milky way",#thisisisrael,"@refaat🇵🇸, @refaat🇵🇸"
2021-06-18 17:59:36+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",   june       #covid   in south africa     daily test positivity rate at       today  that s a positive test for every     tests processed    the increase in test positivity rate    day average at        confirming the rapid rise in infections    #rid tweetsoncovid #coronavirus ,0.0257575757575757,0.3151515151515151,160,63,marissalangeni,1070,666,False,#covid19,jhb,"#covid, #rid, #coronavirus",@ridhwaan suliman
2021-06-18 17:59:39+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",rt  wef  study  most people support sharing vaccines with other countries  #covid   #vaccines ,0.1875,0.4375,31,16,nitin_na3,57,759,False,"#covid19, #covid19","maharashtra, india","#covid, #vaccines",@world economic forum
2021-06-18 17:59:42+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">twitter for ipad</a>", mb     winnipeg     available mrna vaccines    scurfield pharmacy          scurfield blvd                    call to confirm availability book appointment   #protectmb  #vhcdose  #covid  mb #vhcmb,0.625,0.4,6,3,knitntherapist,984,1382,False, ,princeduckie by @vanillacherie,"#protectmb, #vhcdose, #covid, #vhcmb",@vaccine hunters canada
2021-06-18 18:00:00+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",        concerns over whether astrazeneca recipients will be limited in travel to the u s   ,-0.0714285714285714,0.1428571428571428,0,0,vubblepop,3165,2112,False, ,everywhere, , 
2021-06-18 18:00:02+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",phac webinar for health care providers  covid    variants and vaccines   june                 pm      pm edt regist  ,0.0,0.0,0,0,caccn1,759,259,False, ,"london, on, canada", , 
2021-06-18 18:00:02+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",karur district   tomorrow s              vaccination camps  #karur #covid   #tamilnadu #karurdistrict #karurcovid #vaccinationdrive #covishieldvaccine #covaxin #tnvaccinedrive #empoweringerode #vaccines ,0.0,0.0,2,2,saravanan_erode,32,476,False,"#karur, #karur, #karur, #karur, #karur", ,"#karur, #covid, #tamilnadu, #karurdistrict, #karurcovid, #vaccinationdrive, #covishieldvaccine, #covaxin, #tnvaccinedrive, #empoweringerode, #vaccines",@💛empowering erode💛
2021-06-18 18:00:02+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",vaccines bring us together   keep your friends family safe from #covid    seattlefire  amp   seapubschools are hosting  ,0.5,0.5,0,0,seattlemedium,880,211,False,#covid19,"seattle, wa",#covid,"@seattle fire dept., @seattle fire dept."
2021-06-18 18:00:02+00:00,"<a href=""http://www.falcon.io"" rel=""nofollow"">falcon social media management </a>",patients with immune mediated inflammatory diseases receiving background methotrexate have worse humoral and cellul  ,-0.4,0.6,0,0,ophth_advisor,505,161,False, , , , 
2021-06-18 18:00:02+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",as of june   th  t amp t has administered         doses of a who approved #covid   vaccine  the country has approximately     of available stock remaining   in tobago  that number is lower at      june   th  with       sinopharm doses arriving on monday    ,0.0,0.5,48,17,iamtrinidaddy,1318,626,False,#covid19,🇹🇹 x 🇺🇸,#covid,@kalain hosein
2021-06-18 18:00:09+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",join us in al balagh  nd international conference on fiqh of medicine  amp  learn about the islamic approach to covid   vaccines  amp  pharmaceutical industry with leading subject experts        th  amp    th june       register now      drrafaqatrashid  maraviaus ,-0.0416666666666666,0.0833333333333333,3,3,ambuhari,7179,5244,False, ,"kaduna, nigeria", ,@al balagh academy
2021-06-18 18:00:18+00:00,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">hootsuite inc.</a>",follow  aarc tweets   hcollaborative  amp   looms lupus to keep up with the work these partners are doing to help the  ,0.0,0.0,0,0,covidvxproject,312,401,False, ,"washington, dc", ,"@american association for respiratory care, @american association for respiratory care, @american association for respiratory care"
2021-06-18 18:00:31+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">twitter web app</a>",israel will deliver more than a million doses of #covid   vaccines to the palestinian authority to help it fight the corona pandemic   the  st delivery  consisting of         vaccines  was transfered to the pa friday afternoon through bitunia crossing  ,0.5,0.5,404,168,starcolombo,2675,4924,False,#covid19, ,#covid,@israel foreign ministry
2021-06-18 18:00:37+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">twitter for android</a>",dr moeti is head of who in africa  and one of the best public health experts and leaders i know  hers is a desperate request for vaccines to africa  we plead with germany and the uk to lift patent restrictions and urgently transfer technology to enable production in africa ,0.1333333333333333,0.4555555555555555,210,97,tonyforde007,39,187,False, , , ,@anthony costello
